time,sim_x,sim_y,sim_z,vicon_x,vicon_y,vicon_z
56.368,0.5104439641219592,0.11743535499271156,-0.055764849008491685,0.49314951248148287,0.09723174067897335,-0.15537821818001923
56.369,0.5104151172879627,0.1180729217658259,-0.05484235969134028,0.49311277270416687,0.09746498622977823,-0.1553474587169387
56.37,0.5103877507010491,0.1187003066575247,-0.053914744143863595,0.4930760329268509,0.09769823178058311,-0.15531669925385816
56.371,0.5103618773324714,0.11931742466430496,-0.052982083190874246,0.4930396079048922,0.09792749387869643,-0.15529108042521014
56.372,0.5103375094895902,0.11992419120227973,-0.05204445794057962,0.4930031828829338,0.0981567559768081,-0.15526546159656235
56.373,0.5103146587285028,0.12052052221328241,-0.05110194977323097,0.4929667578609754,0.09838601807491977,-0.15523984276791453
56.374,0.5102933360615618,0.12110633428192517,-0.05015464031250509,0.4929303328390167,0.09861528017303307,-0.15521422393926657
56.375,0.5102735520558389,0.1216815446688446,-0.04920261141738036,0.4928939078170583,0.09884454227114474,-0.15518860511061874
56.376,0.5102553168920294,0.12224607131310257,-0.04824594517354118,0.4928574827950999,0.09907380436925642,-0.15516298628197095
56.377,0.5102386404014774,0.1227998328205348,-0.047284723885594585,0.49282105777314117,0.09930306646736971,-0.15513736745332296
56.378,0.510223532088895,0.12334274844747886,-0.04631903007294686,0.4927846327511828,0.09953232856548139,-0.15511174862467517
56.379,0.5102100011470267,0.12387473808207759,-0.0453489464618494,0.49274820772922434,0.09976159066359305,-0.15508612979602737
56.38,0.5101980564641853,0.12439572222732526,-0.04437455598155223,0.4927117827072657,0.09999085276170636,-0.15506051096737938
56.381,0.510187706568117,0.12490562192669379,-0.04339594177793275,0.4926679074941658,0.10023342067860402,-0.15505349271586016
56.382,0.5101789592295908,0.12540435835198444,-0.04241318735012748,0.49262403228106594,0.10047598859550169,-0.15504647446434094
56.383,0.5101718214946305,0.12589185280914597,-0.041426376576043915,0.4925801570679657,0.10071855651240108,-0.1550394562128217
56.384,0.5101662999186711,0.12636802697189892,-0.04043559363994934,0.49253628185486586,0.10096112442929875,-0.15503243796130248
56.385,0.5101624006569041,0.12683280298386668,-0.039440922999554845,0.49249240664176597,0.10120369234619642,-0.15502541970978326
56.386,0.51016012950641,0.12728610350875844,-0.03844244936726064,0.49244853142866574,0.1014462602630958,-0.15501840145826398
56.387,0.5101594919267163,0.12772785174891105,-0.03744025768346105,0.4924046562155659,0.10168882817999347,-0.15501138320674476
56.388,0.5101604930428671,0.1281579714558371,-0.036434433110179174,0.492360781002466,0.10193139609689114,-0.15500436495522557
56.389,0.5101631376436152,0.12857638692953427,-0.0354250610139705,0.4923169057893658,0.10217396401379053,-0.1549973467037063
