alpha,loss_median,grad_Kp,grad_Ki,grad_Kd,update_Kp,update_Ki,update_Kd,rel_Kp,rel_Ki,rel_Kd
1000,2.639484e-03,1.958105e-05,1.325220e-07,1.852669e-04,5.276053e-01,2.461817e-01,6.115334e-01,5.018721e-03,2.353283e-02,4.697372e-01
1000,2.537563e-03,1.631368e-05,6.962195e-08,1.266595e-04,6.618396e-01,1.650577e-01,7.061310e-01,6.304699e-03,1.615181e-02,6.527772e-01
1000,2.472874e-03,1.292823e-05,6.307371e-08,3.818558e-05,7.508916e-01,1.281506e-01,5.978193e-01,7.142799e-03,1.294107e-02,4.454431e-01
1000,2.485100e-03,1.074415e-05,1.210522e-07,1.169703e-04,7.996074e-01,1.057442e-01,3.095857e-01,7.585040e-03,1.087654e-02,1.976264e-01
1000,2.515049e-03,1.004696e-05,1.524047e-07,1.694675e-04,8.401314e-01,9.052584e-02,2.385158e-01,7.940551e-03,9.366661e-03,1.572626e-01
1000,2.480325e-03,1.016329e-05,1.357998e-07,1.623217e-04,8.865514e-01,7.892881e-02,3.115160e-01,8.343437e-03,8.204703e-03,1.754460e-01
1000,2.425374e-03,1.092980e-05,8.647225e-08,6.770024e-05,9.467447e-01,6.957277e-02,3.780561e-01,8.866751e-03,7.272704e-03,2.302340e-01
1000,2.401199e-03,1.208406e-05,6.098656e-08,5.050659e-05,1.022941e+00,6.165384e-02,3.919473e-01,9.528573e-03,6.504785e-03,2.000306e-01
1000,2.398710e-03,1.306483e-05,5.067252e-08,6.020230e-05,1.109348e+00,5.491016e-02,3.050587e-01,1.027145e-02,5.865605e-03,1.488428e-01
1000,2.395241e-03,1.350648e-05,4.528229e-08,8.825306e-05,1.196376e+00,4.914345e-02,2.507370e-01,1.100404e-02,5.329347e-03,1.069960e-01
1000,2.378909e-03,1.332460e-05,4.474499e-08,9.134878e-05,1.274734e+00,4.421692e-02,2.660339e-01,1.164040e-02,4.872943e-03,1.043623e-01
1000,2.350305e-03,1.262982e-05,4.270699e-08,7.402055e-05,1.337787e+00,4.002142e-02,3.110300e-01,1.212189e-02,4.474772e-03,1.155845e-01
1000,2.317983e-03,1.164568e-05,4.682779e-08,4.752822e-05,1.382705e+00,3.645727e-02,3.463037e-01,1.242672e-02,4.120040e-03,1.183651e-01
1000,2.292226e-03,1.063848e-05,5.915697e-08,2.098439e-05,1.410697e+00,3.342720e-02,3.206263e-01,1.257065e-02,3.802365e-03,1.002442e-01
1000,2.277739e-03,9.833596e-06,7.316897e-08,4.168561e-05,1.426202e+00,3.082927e-02,2.845501e-01,1.259784e-02,3.518606e-03,8.239072e-02
1000,2.268760e-03,9.329094e-06,8.246047e-08,7.309973e-05,1.434918e+00,2.851625e-02,2.611795e-01,1.256197e-02,3.265938e-03,7.205042e-02
1000,2.254193e-03,9.091625e-06,8.352664e-08,8.150659e-05,1.441736e+00,2.644907e-02,2.621623e-01,1.250765e-02,3.040494e-03,6.865944e-02
1000,2.230731e-03,9.057211e-06,7.336152e-08,4.766502e-05,1.450146e+00,2.456479e-02,2.928621e-01,1.246565e-02,2.837821e-03,7.397770e-02
1000,2.205465e-03,9.180453e-06,6.064759e-08,3.464779e-05,1.462479e+00,2.279867e-02,3.273491e-01,1.245555e-02,2.654205e-03,7.541895e-02
1000,2.185288e-03,9.389579e-06,5.311098e-08,2.121091e-05,1.479601e+00,2.112415e-02,2.979508e-01,1.248368e-02,2.487197e-03,6.712875e-02
