alpha,loss_median,grad_Kp,grad_Ki,grad_Kd,update_Kp,update_Ki,update_Kd,rel_Kp,rel_Ki,rel_Kd
1000,2.638652e-03,1.951655e-05,1.920672e-07,1.842063e-04,5.259779e-01,2.459209e-01,6.081657e-01,5.003151e-03,2.335968e-02,4.678941e-01
1000,2.537890e-03,1.628182e-05,7.677466e-08,1.258696e-04,6.596790e-01,1.649224e-01,7.020064e-01,6.284062e-03,1.607762e-02,6.487445e-01
1000,2.473984e-03,1.292685e-05,1.620959e-07,3.805611e-05,7.491211e-01,1.285476e-01,5.940048e-01,7.125989e-03,1.328516e-02,4.449135e-01
1000,2.485933e-03,1.076675e-05,3.532798e-07,1.160764e-04,7.985621e-01,1.074830e-01,3.084124e-01,7.575250e-03,1.140285e-02,1.972289e-01
1000,2.515231e-03,1.007592e-05,3.523186e-07,1.654353e-04,8.397622e-01,9.398035e-02,2.373149e-01,7.937250e-03,9.961820e-03,1.570740e-01
1000,2.481045e-03,1.018676e-05,4.057399e-07,1.623016e-04,8.866284e-01,8.345458e-02,3.102952e-01,8.344367e-03,8.827297e-03,1.799016e-01
1000,2.426573e-03,1.093794e-05,2.439097e-07,6.791956e-05,9.469409e-01,7.450244e-02,3.770320e-01,8.868764e-03,7.904407e-03,2.250543e-01
1000,2.402219e-03,1.207639e-05,1.657227e-07,5.033600e-05,1.022992e+00,6.639392e-02,3.915620e-01,9.529169e-03,7.142792e-03,1.999300e-01
1000,2.399419e-03,1.304871e-05,1.176017e-07,6.187366e-05,1.109146e+00,5.925134e-02,3.051400e-01,1.026962e-02,6.519325e-03,1.488961e-01
1000,2.395825e-03,1.348958e-05,1.032466e-07,8.490369e-05,1.195939e+00,5.306801e-02,2.506517e-01,1.100000e-02,6.023225e-03,1.069559e-01
1000,2.379580e-03,1.331269e-05,8.190825e-08,9.083948e-05,1.274162e+00,4.783300e-02,2.653993e-01,1.163511e-02,5.632690e-03,1.040897e-01
1000,2.351174e-03,1.262629e-05,8.922496e-08,7.388343e-05,1.337220e+00,4.352082e-02,3.097604e-01,1.211665e-02,5.302594e-03,1.151057e-01
1000,2.319014e-03,1.165142e-05,1.170233e-07,4.743977e-05,1.382283e+00,4.009139e-02,3.449743e-01,1.242280e-02,4.998530e-03,1.179252e-01
1000,2.293257e-03,1.065205e-05,1.674231e-07,2.119196e-05,1.410527e+00,3.747145e-02,3.203851e-01,1.256899e-02,4.716775e-03,1.002318e-01
1000,2.278603e-03,9.851643e-06,2.173703e-07,4.104252e-05,1.426333e+00,3.550650e-02,2.844907e-01,1.259880e-02,4.465348e-03,8.240489e-02
1000,2.269467e-03,9.347740e-06,2.506705e-07,7.225470e-05,1.435332e+00,3.393875e-02,2.625840e-01,1.256533e-02,4.248384e-03,7.207467e-02
1000,2.254942e-03,9.107968e-06,2.558908e-07,8.088661e-05,1.442368e+00,3.249128e-02,2.614175e-01,1.251280e-02,4.061705e-03,6.854844e-02
1000,2.231639e-03,9.069060e-06,2.161890e-07,4.784945e-05,1.450903e+00,3.098359e-02,2.910088e-01,1.247172e-02,3.896231e-03,7.368331e-02
1000,2.206432e-03,9.186398e-06,1.701855e-07,3.475081e-05,1.463256e+00,2.936084e-02,3.263315e-01,1.246162e-02,3.744359e-03,7.519288e-02
1000,2.186172e-03,9.390106e-06,1.504363e-07,2.171787e-05,1.480312e+00,2.765876e-02,2.980635e-01,1.248901e-02,3.603272e-03,6.714846e-02
