alpha,loss_median,grad_Kp,grad_Ki,grad_Kd,update_Kp,update_Ki,update_Kd,rel_Kp,rel_Ki,rel_Kd
1000,2.638571e-03,1.948678e-05,1.746776e-07,1.829491e-04,5.252328e-01,2.459283e-01,6.041866e-01,4.996122e-03,2.357206e-02,4.654781e-01
1000,2.539081e-03,1.628877e-05,1.189880e-07,1.250313e-04,6.591627e-01,1.661980e-01,6.973616e-01,6.279310e-03,1.649143e-02,6.442905e-01
1000,2.475805e-03,1.297025e-05,4.697416e-07,3.801610e-05,7.495824e-01,1.300954e-01,5.906441e-01,7.130625e-03,1.437523e-02,4.445973e-01
1000,2.487101e-03,1.082651e-05,7.537112e-07,1.144994e-04,8.000749e-01,1.116403e-01,3.081883e-01,7.589882e-03,1.286635e-02,1.972442e-01
1000,2.515834e-03,1.013220e-05,8.835108e-07,1.596254e-04,8.420512e-01,1.005428e-01,2.354413e-01,7.959135e-03,1.158384e-02,1.569686e-01
1000,2.482431e-03,1.023328e-05,5.897829e-07,1.625747e-04,8.893812e-01,9.164056e-02,3.085568e-01,8.370425e-03,1.049860e-02,1.882722e-01
1000,2.428323e-03,1.096528e-05,4.426715e-07,6.859449e-05,9.497764e-01,8.327620e-02,3.757292e-01,8.895307e-03,9.570348e-03,2.185595e-01
1000,2.403543e-03,1.208347e-05,3.385069e-07,5.019588e-05,1.025597e+00,7.531474e-02,3.920572e-01,9.553201e-03,8.801960e-03,2.004865e-01
1000,2.400268e-03,1.304468e-05,2.384758e-07,6.483478e-05,1.111394e+00,6.795908e-02,3.059128e-01,1.028996e-02,8.207823e-03,1.494674e-01
1000,2.396523e-03,1.348555e-05,1.957962e-07,7.898681e-05,1.197883e+00,6.144962e-02,2.505913e-01,1.101714e-02,7.789603e-03,1.070146e-01
1000,2.380431e-03,1.331721e-05,1.795050e-07,9.023592e-05,1.275973e+00,5.598460e-02,2.642918e-01,1.165066e-02,7.327036e-03,1.037338e-01
1000,2.352279e-03,1.264356e-05,2.209623e-07,7.402475e-05,1.339113e+00,5.169533e-02,3.076859e-01,1.213257e-02,6.813808e-03,1.144714e-01
1000,2.320229e-03,1.168069e-05,3.224802e-07,4.759639e-05,1.384440e+00,4.863385e-02,3.432693e-01,1.244075e-02,6.452970e-03,1.175033e-01
1000,2.294291e-03,1.068823e-05,4.084190e-07,2.254615e-05,1.413042e+00,4.673576e-02,3.210365e-01,1.258974e-02,6.240304e-03,1.006482e-01
1000,2.279266e-03,9.887777e-06,4.600174e-07,3.980446e-05,1.429181e+00,4.574411e-02,2.849236e-01,1.262209e-02,6.144800e-03,8.262730e-02
1000,2.269908e-03,9.378784e-06,4.386828e-07,7.098890e-05,1.438407e+00,4.519327e-02,2.657219e-01,1.259016e-02,6.105851e-03,7.213306e-02
1000,2.255514e-03,9.131906e-06,4.282667e-07,8.024832e-05,1.445536e+00,4.458750e-02,2.600088e-01,1.253794e-02,6.036991e-03,6.835932e-02
1000,2.232436e-03,9.084572e-06,4.068983e-07,4.858075e-05,1.454018e+00,4.361726e-02,2.877167e-01,1.249590e-02,5.837570e-03,7.328211e-02
1000,2.207226e-03,9.192652e-06,3.467467e-07,3.515320e-05,1.466176e+00,4.220518e-02,3.235478e-01,1.248364e-02,5.652497e-03,7.498962e-02
1000,2.186750e-03,9.388711e-06,2.784314e-07,2.323618e-05,1.482937e+00,4.043934e-02,2.989505e-01,1.250805e-02,5.482251e-03,6.739614e-02
