alpha,loss_median,grad_Kp,grad_Ki,grad_Kd,update_Kp,update_Ki,update_Kd,rel_Kp,rel_Ki,rel_Kd
1000,2.639340e-03,1.949976e-05,1.521175e-07,1.822488e-04,5.254183e-01,2.476735e-01,6.019732e-01,4.998008e-03,2.419915e-02,4.639931e-01
1000,2.540511e-03,1.631899e-05,3.314648e-07,1.245343e-04,6.600194e-01,1.676224e-01,6.947053e-01,6.287688e-03,1.749057e-02,6.417693e-01
1000,2.477562e-03,1.301908e-05,7.817136e-07,3.798913e-05,7.512589e-01,1.336536e-01,5.886425e-01,7.146805e-03,1.601257e-02,4.443661e-01
1000,2.488446e-03,1.088396e-05,1.113673e-06,1.136007e-04,8.025480e-01,1.170221e-01,3.079820e-01,7.613537e-03,1.425045e-02,1.972744e-01
1000,2.516778e-03,1.018649e-05,1.270674e-06,1.566727e-04,8.451186e-01,1.078790e-01,2.344471e-01,7.988227e-03,1.332804e-02,1.569163e-01
1000,2.483773e-03,1.028025e-05,1.178310e-06,1.627196e-04,8.928165e-01,1.004507e-01,3.074237e-01,8.402705e-03,1.257480e-02,1.930286e-01
1000,2.429828e-03,1.099898e-05,8.316423e-07,6.901464e-05,9.533153e-01,9.294107e-02,3.748764e-01,8.928186e-03,1.177618e-02,2.152854e-01
1000,2.404729e-03,1.210323e-05,5.499564e-07,5.010975e-05,1.029023e+00,8.535366e-02,3.925105e-01,9.584577e-03,1.093520e-02,2.009250e-01
1000,2.401107e-03,1.305621e-05,3.724646e-07,6.646779e-05,1.114611e+00,7.807403e-02,3.064826e-01,1.031890e-02,1.010428e-02,1.498770e-01
1000,2.397216e-03,1.349575e-05,3.168993e-07,7.557779e-05,1.200910e+00,7.151607e-02,2.505688e-01,1.104379e-02,9.341637e-03,1.070666e-01
1000,2.381169e-03,1.333133e-05,3.057241e-07,8.986827e-05,1.278899e+00,6.602802e-02,2.636557e-01,1.167585e-02,8.698580e-03,1.035365e-01
1000,2.353124e-03,1.266424e-05,3.833739e-07,7.413498e-05,1.342059e+00,6.185386e-02,3.064280e-01,1.215741e-02,8.213518e-03,1.140889e-01
1000,2.321094e-03,1.170765e-05,5.019175e-07,4.769728e-05,1.387510e+00,5.910522e-02,3.422480e-01,1.246617e-02,7.907390e-03,1.172527e-01
1000,2.294996e-03,1.071846e-05,6.293217e-07,2.387825e-05,1.416284e+00,5.771040e-02,3.215723e-01,1.261617e-02,7.776040e-03,1.009461e-01
1000,2.279690e-03,9.916985e-06,6.549526e-07,3.900015e-05,1.432575e+00,5.733305e-02,2.852540e-01,1.264933e-02,7.778321e-03,8.278015e-02
1000,2.270153e-03,9.403769e-06,5.983702e-07,7.015817e-05,1.441880e+00,5.737624e-02,2.649323e-01,1.261755e-02,7.835600e-03,7.197762e-02
1000,2.255811e-03,9.151366e-06,5.646318e-07,7.983047e-05,1.448992e+00,5.721767e-02,2.591386e-01,1.256465e-02,7.863376e-03,6.824253e-02
1000,2.232853e-03,9.097666e-06,5.352706e-07,4.908922e-05,1.457359e+00,5.647703e-02,2.855905e-01,1.252107e-02,7.808561e-03,7.301713e-02
1000,2.207613e-03,9.198860e-06,4.769150e-07,3.543120e-05,1.469303e+00,5.506910e-02,3.216905e-01,1.250645e-02,7.657941e-03,7.485699e-02
1000,2.186966e-03,9.389163e-06,3.944456e-07,2.440321e-05,1.485782e+00,5.311871e-02,2.996217e-01,1.252797e-02,7.427496e-03,6.753099e-02
