alpha,loss_median,grad_Kp,grad_Ki,grad_Kd,update_Kp,update_Ki,update_Kd,rel_Kp,rel_Ki,rel_Kd
1000,2.638730e-03,1.952225e-05,1.990029e-07,1.843301e-04,5.261121e-01,2.459083e-01,6.085579e-01,5.004430e-03,2.337153e-02,4.681180e-01
1000,2.537838e-03,1.628361e-05,8.288545e-08,1.259506e-04,6.598403e-01,1.649492e-01,7.024603e-01,6.285595e-03,1.608086e-02,6.491818e-01
1000,2.473865e-03,1.292500e-05,1.460613e-07,3.806174e-05,7.492136e-01,1.285093e-01,5.943433e-01,7.126855e-03,1.324363e-02,4.449450e-01
1000,2.485868e-03,1.076322e-05,3.253818e-07,1.162104e-04,7.985721e-01,1.072901e-01,3.084623e-01,7.575322e-03,1.133978e-02,1.972402e-01
1000,2.515218e-03,1.007246e-05,3.516038e-07,1.660008e-04,8.397088e-01,9.359116e-02,2.374810e-01,7.936719e-03,9.892739e-03,1.570883e-01
1000,2.480963e-03,1.018398e-05,3.749662e-07,1.622801e-04,8.865361e-01,8.295495e-02,3.104448e-01,8.343473e-03,8.759426e-03,1.791650e-01
1000,2.426449e-03,1.093667e-05,2.267993e-07,6.787704e-05,9.468404e-01,7.397386e-02,3.771480e-01,8.867803e-03,7.840382e-03,2.256893e-01
1000,2.402121e-03,1.207675e-05,1.493113e-07,5.035028e-05,1.022910e+00,6.587676e-02,3.915687e-01,9.528391e-03,7.081480e-03,1.999040e-01
1000,2.399358e-03,1.305004e-05,1.122411e-07,6.161023e-05,1.109093e+00,5.877185e-02,3.051115e-01,1.026914e-02,6.457297e-03,1.488649e-01
1000,2.395776e-03,1.349097e-05,9.967176e-08,8.542801e-05,1.195913e+00,5.263156e-02,2.506619e-01,1.099977e-02,5.955907e-03,1.069541e-01
1000,2.379518e-03,1.331338e-05,8.121374e-08,9.089598e-05,1.274149e+00,4.742890e-02,2.654927e-01,1.163502e-02,5.556296e-03,1.041191e-01
1000,2.351088e-03,1.262588e-05,8.359944e-08,7.388214e-05,1.337203e+00,4.312718e-02,3.099329e-01,1.211651e-02,5.217178e-03,1.151573e-01
1000,2.318913e-03,1.164991e-05,1.058695e-07,4.743563e-05,1.382244e+00,3.967927e-02,3.451287e-01,1.242248e-02,4.907163e-03,1.179633e-01
1000,2.293164e-03,1.064982e-05,1.527021e-07,2.112911e-05,1.410457e+00,3.700937e-02,3.203658e-01,1.256840e-02,4.622344e-03,1.002066e-01
1000,2.278535e-03,9.849237e-06,1.997465e-07,4.113255e-05,1.426231e+00,3.496893e-02,2.844781e-01,1.259794e-02,4.369381e-03,8.239201e-02
1000,2.269416e-03,9.345567e-06,2.311963e-07,7.235295e-05,1.435205e+00,3.331702e-02,2.622895e-01,1.256428e-02,4.151284e-03,7.206818e-02
1000,2.254882e-03,9.106225e-06,2.362470e-07,8.094411e-05,1.442225e+00,3.179707e-02,2.615217e-01,1.251162e-02,3.963399e-03,6.856040e-02
1000,2.231561e-03,9.067883e-06,1.999021e-07,4.780540e-05,1.450756e+00,3.024147e-02,2.912699e-01,1.247053e-02,3.796661e-03,7.371267e-02
1000,2.206351e-03,9.185879e-06,1.583722e-07,3.472949e-05,1.463114e+00,2.859816e-02,3.264748e-01,1.246051e-02,3.643565e-03,7.521019e-02
1000,2.186104e-03,9.390157e-06,1.400187e-07,2.161657e-05,1.480184e+00,2.689846e-02,2.980192e-01,1.248804e-02,3.501239e-03,6.713303e-02
