wall_time,episode_reward_mean
242.761409044,-43.3214776396
410.295965672,-40.8666699601
575.259747505,-25.8442850402
739.922525406,-29.7747770159
884.110224962,-22.8145124149
904.481975794,-21.1487864868
1048.90973991,-7.81668869096
1069.316046,-10.7571250405
1213.81351399,-16.456402936
1234.23003101,3.82676962624
1378.81200117,17.7269709511
1399.23997664,20.5675497542
1544.75856689,24.363512055
1565.32084084,28.4061856235
1710.12038371,38.016080169
1730.57954717,39.9665182641
1876.42910796,42.6901798905
1896.93881726,50.6618120344
2042.20632064,33.0187119623
2062.73262405,54.5337795305
2207.60963091,88.0479331183
2228.08007908,67.0467350755
2372.71662068,67.810415349
2393.15328646,79.6577939769
2537.77581117,89.9243706654
2558.21164966,84.8034350408
2703.15729293,77.2434838793
2723.63902926,91.787900675
2868.46366376,110.917016434
2888.92740512,97.4958854781
3034.23313418,126.29707244
3054.76457334,100.044068167
3199.44233325,72.1277789148
3219.88615751,103.009019212
3364.49911436,61.6944715343
3384.93216205,98.1764251305
3530.21795309,108.376585828
3550.63749456,101.709582335
3695.207151,120.971008594
3715.63373017,108.231447641
3860.13256514,87.8406017413
3880.55121064,105.684753363
4025.04009962,105.558463725
4045.458,113.970213077
4045.45800066,104.930269547
4189.89932871,107.876933755
4210.31046677,106.99913735
4355.10397157,86.7599149928
4375.56445694,106.0207736
4520.28987145,116.62747427
4540.74061608,106.557380783
4685.4700121,123.569306572
4705.92160654,110.584693735
4850.60386804,118.232684367
4871.04875851,108.42547543
5016.58918652,106.5696968
5037.15584326,109.757177902
5182.63475111,117.028715965
5203.06506228,109.953823371
5347.82299194,111.917977714
5368.27652311,114.846153311
5513.30688494,117.527755738
5533.80246806,113.307744325
5678.96196225,97.0786335655
5699.4748528,110.481115594
5844.00899568,97.8839975858
5864.43230414,114.849769052
6008.83590284,111.463490508
6029.24156308,115.680289885
6174.0980773,139.195606832
6194.56840777,112.218416937
