wall_time,episode_reward_mean
315.050246,-43.0037082393
515.680314451,-43.8992908513
543.419017792,-37.3565462521
736.77518481,-33.9618143803
764.1,-33.405812785
764.100074768,-28.1131057082
958.34463641,-19.1109928982
985.79182601,-4.62614092505
1179.73253769,15.6336408528
1207.13719702,25.1714066444
1401.04258996,47.6418129602
1428.34727025,56.269533344
1621.41882405,82.1960818479
1648.70206833,74.0196205591
1841.66944546,100.633318586
1868.93773746,85.1448987437
2061.27121466,52.0740883742
2088.4486045,102.100022817
2088.44860458,96.3678032013
2282.28491706,102.202988499
2309.67817688,99.3675216078
2504.50816926,119.671263909
2531.94012618,96.6584748771
2725.88670239,120.43588673
2753.29510212,99.4607873702
2946.61761227,124.64356121
2973.93350649,105.635016984
3167.8782391,109.415154806
3195.28600955,107.682117573
3387.97775531,114.34816406
3415.20766401,109.22627934
3608.14137962,103.317403763
3635.32257891,103.876136846
3829.08121839,102.093263213
3856.46463275,106.260262015
4050.57661745,82.2636442585
4078,96.611104988
4078.00854754,103.743742009
