wall_time,episode_reward_mean
247.496406317,-44.4020705
391.597702742,-44.9429652452
530.24547267,-43.3087642583
668.924666405,-36.3742121949
807.63528657,-29.1747771662
946.421386003,-25.2421620768
1084.95077753,-22.8468367493
1225.82868147,-15.7132056111
1364.49090934,-10.083972762
1503.11001372,-7.56988560553
1641.78038526,-3.66974247072
1780.410488,6.25441139936
1780.41048837,3.02807440793
1918.98622799,13.1740690906
2057.53226328,9.51363908368
2196.37434745,16.1094369762
2334.90776253,26.4862730986
2473.4250927,22.7938819483
2611.97415376,31.5608281771
2750.57243633,43.1321757053
2889.1400876,41.4815378048
3028.22337413,52.003568296
3166.76256824,52.3440682731
3305.55239105,59.3363298858
3444.15810823,59.8076830555
3582.76065159,65.916526336
3721.35918808,71.0474200408
3859.98605108,70.1167533312
3998.61191106,78.5473666769
4137.16492438,66.3433072958
4276.05203462,79.17114581
4414.6070199,81.875904185
4553.20195603,82.1899898676
4691.77121711,87.5632288177
4830.39597964,87.80748233
4968.96847463,91.7662318983
5107.52793837,96.018552075
5246.14288425,95.6622352066
5385.00094509,98.0312417843
5523.59484601,99.0669028292
5662.21029615,98.1798727821
5801.37910748,95.5032237533
5940.03737903,114.722300619
6078.63554025,107.392741762
6217.23256326,104.01208921
6357.57238579,111.847959583
6496.20346808,105.742666402
6634.82360077,114.464287752
6773.39250851,111.405649772
6911.99430609,108.046465386
7050.60039163,111.198298555
7189.20427203,97.7871403367
7327.8020854,106.479349517
7466.70347023,108.809239936
7605.27936506,114.028715497
7743.85736561,114.418426186
7882.44972754,110.03460881
8021.08771849,116.114852459
8159.70501971,118.993447105
8298.28807616,111.524427347
8437.00716233,118.698796505
8576.15584803,119.632197988
8714.80249262,114.838527999
8853.42810512,119.013418595
8992.03426266,117.240679986
9130.64099765,117.5429123
9269.288975,110.67264931
9407.87110567,117.072472673
9546.7329011,115.525712446
9685.29657698,116.525817008
9823.83935642,116.59139569
9962.47175908,120.028279952
10101.1194937,121.657023706
10239.7121992,118.813748951
10378.3149981,115.060867688
10517.0952604,118.089116062
