Marker,Tau Condition,Error
M2,$\tau_{ext} = \tau_{ext}^*$,0.006044534080966445
M2,$\tau_{ext} = \tau_{ext}^*$,0.007873429440019902
M2,$\tau_{ext} = \tau_{ext}^*$,0.006366539740813799
M2,$\tau_{ext} = \tau_{ext}^*$,0.007287370270874191
M2,$\tau_{ext} = \tau_{ext}^*$,0.007835338619881688
M2,$\tau_{ext} = \tau_{ext}^*$,0.007343274829582192
M2,$\tau_{ext} = \tau_{ext}^*$,0.006215194646948958
M2,$\tau_{ext} = \tau_{ext}^*$,0.006180332232614917
M2,"$\tau_{ext} = \tau_{ext,NN}$",0.001192135694594885
M2,"$\tau_{ext} = \tau_{ext,NN}$",0.005374495171712381
M2,"$\tau_{ext} = \tau_{ext,NN}$",0.006248046047512663
M2,"$\tau_{ext} = \tau_{ext,NN}$",0.011835769476677421
M2,"$\tau_{ext} = \tau_{ext,NN}$",0.0018353659371989968
M2,"$\tau_{ext} = \tau_{ext,NN}$",0.003733841716735644
M2,"$\tau_{ext} = \tau_{ext,NN}$",0.0061750307310888914
M2,"$\tau_{ext} = \tau_{ext,NN}$",0.011269175372236725
M2,"$\tau_{ext} = \tau_{ext,NN}$",0.007181126370705578
M2,"$\tau_{ext} = \tau_{ext,NN}$",0.006548960578891726
M2,"$\tau_{ext} = \tau_{ext,NN}$",0.00815479291336804
M2,"$\tau_{ext} = \tau_{ext,NN}$",0.007037662072102092
M2,"$\tau_{ext} = \tau_{ext,NN}$",0.005718485294115214
M2,"$\tau_{ext} = \tau_{ext,NN}$",0.006401113456929341
M2,"$\tau_{ext} = \tau_{ext,NN}$",0.006272336252325786
M2,"$\tau_{ext} = \tau_{ext,NN}$",0.008008587597870497
M2,"$\tau_{ext} = \tau_{ext,NN}$",0.006871370615932986
M2,"$\tau_{ext} = \tau_{ext,NN}$",0.007231932143754675
M2,"$\tau_{ext} = \tau_{ext,NN}$",0.007267483752949423
M2,"$\tau_{ext} = \tau_{ext,NN}$",0.0071916881030413835
M2,"$\tau_{ext} = \tau_{ext,NN}$",0.006056949051307066
M2,"$\tau_{ext} = \tau_{ext,NN}$",0.006072119337940142
M3,$\tau_{ext} = 0$,0.013698950746848355
M3,$\tau_{ext} = 0$,0.014143898214063996
M3,$\tau_{ext} = 0$,0.02327840359695843
M3,$\tau_{ext} = 0$,0.036470873108698065
M3,$\tau_{ext} = 0$,0.004663971474966404
M3,$\tau_{ext} = 0$,0.005683537792248896
M3,$\tau_{ext} = 0$,0.004309253449375767
M3,$\tau_{ext} = 0$,0.023916964854308997
M3,$\tau_{ext} = 0$,0.015046301102581988
M3,$\tau_{ext} = 0$,0.010523872530812512
M3,$\tau_{ext} = 0$,0.01125060006707613
M3,$\tau_{ext} = 0$,0.011628276015950303
M3,$\tau_{ext} = 0$,0.00934263990285099
M3,$\tau_{ext} = 0$,0.008856021828756899
M3,$\tau_{ext} = 0$,0.007727259962115374
M3,$\tau_{ext} = 0$,0.012800283304030506
M3,$\tau_{ext} = 0$,0.009410820298850198
M3,$\tau_{ext} = 0$,0.009337867050705015
M3,$\tau_{ext} = 0$,0.006749728195962686
M3,$\tau_{ext} = 0$,0.009147147669348881
M3,$\tau_{ext} = 0$,0.008842057121597021
M3,$\tau_{ext} = 0$,0.007094036293150768
M3,$\tau_{ext} = \tau_{ext}^*$,0.0019110393154247295
M3,$\tau_{ext} = \tau_{ext}^*$,0.004210590587586411
M3,$\tau_{ext} = \tau_{ext}^*$,0.00807178496056616
M3,$\tau_{ext} = \tau_{ext}^*$,0.009868710367220876
M3,$\tau_{ext} = \tau_{ext}^*$,0.002793699263622645
M3,$\tau_{ext} = \tau_{ext}^*$,0.00465490304877748
M3,$\tau_{ext} = \tau_{ext}^*$,0.006966300407886629
M3,$\tau_{ext} = \tau_{ext}^*$,0.008404792313704815
M3,$\tau_{ext} = \tau_{ext}^*$,0.0010315030707980473
M3,$\tau_{ext} = \tau_{ext}^*$,0.003818811407759498
M3,$\tau_{ext} = \tau_{ext}^*$,0.007456735461980246
M3,$\tau_{ext} = \tau_{ext}^*$,0.0011271794153033376
M3,$\tau_{ext} = \tau_{ext}^*$,0.002413086721294465
M3,$\tau_{ext} = \tau_{ext}^*$,0.004485541858554694
M3,$\tau_{ext} = \tau_{ext}^*$,0.0015176981131892787
M3,$\tau_{ext} = \tau_{ext}^*$,0.007414970378427021
M3,$\tau_{ext} = \tau_{ext}^*$,0.004491626239642284
M3,$\tau_{ext} = \tau_{ext}^*$,0.005411720208563114
M3,$\tau_{ext} = \tau_{ext}^*$,0.006205839790806294
M3,$\tau_{ext} = \tau_{ext}^*$,0.006794643751273224
M3,$\tau_{ext} = \tau_{ext}^*$,0.0015986236933945373
M3,$\tau_{ext} = \tau_{ext}^*$,0.0011460643579405093
M3,"$\tau_{ext} = \tau_{ext,NN}$",0.0013892119864551225
M3,"$\tau_{ext} = \tau_{ext,NN}$",0.009240297507612917
M3,"$\tau_{ext} = \tau_{ext,NN}$",0.008710418230752456
M3,"$\tau_{ext} = \tau_{ext,NN}$",0.010156014230057775
M3,"$\tau_{ext} = \tau_{ext,NN}$",0.0018332737826884289
M3,"$\tau_{ext} = \tau_{ext,NN}$",0.004630255008695073
M3,"$\tau_{ext} = \tau_{ext,NN}$",0.00570422396260123
M3,"$\tau_{ext} = \tau_{ext,NN}$",0.008292995252158422
M3,"$\tau_{ext} = \tau_{ext,NN}$",0.0024098354942357777
M3,"$\tau_{ext} = \tau_{ext,NN}$",0.004264390881733241
M3,"$\tau_{ext} = \tau_{ext,NN}$",0.007501624859299842
M3,"$\tau_{ext} = \tau_{ext,NN}$",0.001967551616086668
M3,"$\tau_{ext} = \tau_{ext,NN}$",0.002563011719835612
M3,"$\tau_{ext} = \tau_{ext,NN}$",0.004794685697262482
M3,"$\tau_{ext} = \tau_{ext,NN}$",0.0023803113988825767
M3,"$\tau_{ext} = \tau_{ext,NN}$",0.008017457057015443
M3,"$\tau_{ext} = \tau_{ext,NN}$",0.0054148201664789885
M3,"$\tau_{ext} = \tau_{ext,NN}$",0.005020409985952897
M3,"$\tau_{ext} = \tau_{ext,NN}$",0.005402233950144585
M3,"$\tau_{ext} = \tau_{ext,NN}$",0.007026047247504333
M3,"$\tau_{ext} = \tau_{ext,NN}$",0.0011085123957631495
M3,"$\tau_{ext} = \tau_{ext,NN}$",0.0006449818386730124
M4,$\tau_{ext} = 0$,0.01317155042692574
M4,$\tau_{ext} = 0$,0.024375506552960845
M4,$\tau_{ext} = 0$,0.027549619352834485
M4,$\tau_{ext} = 0$,0.04572427710784607
M4,$\tau_{ext} = 0$,0.0229972261344509
