0,0.000000,0.316196,0.368509,0.240143,0.278830,0.302265,0.200877,0.252811,0.177189,0.180635,0.248152,0.056686,0.179656,0.218227,0.259084,0.182652
1,0.004167,0.316188,0.368513,0.240144,0.278824,0.302265,0.200881,0.252818,0.177184,0.180640,0.248152,0.056687,0.179656,0.218226,0.259086,0.182650
2,0.008333,0.316180,0.368517,0.240144,0.278825,0.302273,0.200886,0.252812,0.177187,0.180636,0.248152,0.056685,0.179656,0.218225,0.259084,0.182650
3,0.012500,0.316173,0.368525,0.240150,0.278820,0.302271,0.200887,0.252812,0.177188,0.180636,0.248151,0.056688,0.179657,0.218228,0.259085,0.182651
4,0.016667,0.316162,0.368531,0.240153,0.278820,0.302269,0.200886,0.252821,0.177185,0.180641,0.248152,0.056687,0.179659,0.218228,0.259086,0.182645
5,0.020833,0.316152,0.368539,0.240159,0.278819,0.302275,0.200891,0.252816,0.177190,0.180635,0.248155,0.056688,0.179659,0.218229,0.259086,0.182642
6,0.025000,0.316151,0.368542,0.240171,0.278819,0.302273,0.200888,0.252817,0.177189,0.180634,0.248156,0.056690,0.179656,0.218233,0.259087,0.182638
7,0.029167,0.316140,0.368551,0.240177,0.278822,0.302279,0.200889,0.252828,0.177186,0.180639,0.248156,0.056691,0.179658,0.218235,0.259088,0.182639
8,0.033333,0.316128,0.368561,0.240187,0.278820,0.302281,0.200893,0.252830,0.177184,0.180642,0.248156,0.056690,0.179659,0.218239,0.259087,0.182638
9,0.037500,0.316115,0.368571,0.240194,0.278824,0.302280,0.200899,0.252831,0.177184,0.180640,0.248156,0.056694,0.179663,0.218243,0.259086,0.182633
10,0.041667,0.316103,0.368578,0.240202,0.278818,0.302282,0.200899,0.252835,0.177185,0.180640,0.248158,0.056695,0.179657,0.218247,0.259087,0.182631
11,0.045833,0.316088,0.368586,0.240209,0.278821,0.302287,0.200902,0.252837,0.177186,0.180640,0.248158,0.056691,0.179661,0.218251,0.259086,0.182624
12,0.050000,0.316078,0.368592,0.240217,0.278824,0.302286,0.200906,0.252842,0.177181,0.180639,0.248159,0.056694,0.179662,0.218254,0.259086,0.182620
13,0.054167,0.316048,0.368606,0.240212,0.278821,0.302283,0.200905,0.252846,0.177182,0.180637,0.248160,0.056695,0.179658,0.218267,0.259087,0.182626
14,0.058333,0.316029,0.368620,0.240216,0.278823,0.302287,0.200908,0.252847,0.177179,0.180636,0.248159,0.056692,0.179657,0.218268,0.259086,0.182621
15,0.062500,0.316012,0.368631,0.240222,0.278821,0.302294,0.200904,0.252852,0.177182,0.180632,0.248164,0.056691,0.179651,0.218270,0.259094,0.182629
16,0.066667,0.315999,0.368640,0.240228,0.278817,0.302301,0.200903,0.252863,0.177179,0.180605,0.248165,0.056692,0.179655,0.218274,0.259094,0.182623
17,0.070833,0.315985,0.368644,0.240237,0.278826,0.302294,0.200916,0.252865,0.177177,0.180604,0.248166,0.056690,0.179647,0.218278,0.259091,0.182616
18,0.075000,0.315969,0.368650,0.240246,0.278818,0.302306,0.200908,0.252868,0.177174,0.180603,0.248166,0.056687,0.179645,0.218281,0.259090,0.182608
19,0.079167,0.315958,0.368659,0.240252,0.278818,0.302305,0.200908,0.252870,0.177173,0.180602,0.248162,0.056687,0.179651,0.218284,0.259090,0.182605
20,0.083333,0.315947,0.368661,0.240259,0.278818,0.302300,0.200910,0.252870,0.177173,0.180598,0.248164,0.056684,0.179646,0.218285,0.259088,0.182598
21,0.087500,0.315937,0.368668,0.240266,0.278829,0.302296,0.200920,0.252872,0.177171,0.180598,0.248163,0.056686,0.179643,0.218292,0.259077,0.182602
22,0.091667,0.315927,0.368670,0.240272,0.278819,0.302305,0.200917,0.252872,0.177172,0.180594,0.248166,0.056684,0.179642,0.218293,0.259081,0.182597
