0,0.000000,0.198922,0.330812,0.176480,0.205429,0.183820,0.177609,0.180233,0.418526,0.177631,0.207497,0.056883,0.180427,0.160361,0.258245,0.173789,,,,,,,,,,,,,,,
1,0.004167,0.198921,0.330812,0.176485,0.205430,0.183820,0.177611,0.180234,0.418525,0.177636,0.207500,0.056882,0.180424,0.160364,0.258248,0.173792,,,,,,,,,,,,,,,
2,0.008333,0.198918,0.330810,0.176487,0.205430,0.183820,0.177607,0.180233,0.418524,0.177638,0.207503,0.056882,0.180421,0.160364,0.258247,0.173796,,,,,,,,,,,,,,,
3,0.012500,0.198916,0.330810,0.176490,0.205431,0.183821,0.177608,0.180233,0.418524,0.177638,0.207503,0.056881,0.180420,0.160363,0.258242,0.173788,,,,,,,,,,,,,,,
4,0.016667,0.198914,0.330809,0.176493,0.205431,0.183820,0.177607,0.180226,0.418522,0.177639,0.207506,0.056881,0.180419,0.160368,0.258241,0.173794,,,,,,,,,,,,,,,
5,0.020833,0.198909,0.330809,0.176496,0.205435,0.183821,0.177607,0.180217,0.418524,0.177647,0.207506,0.056882,0.180416,0.160362,0.258245,0.173799,,,,,,,,,,,,,,,
6,0.025000,0.198905,0.330812,0.176499,0.205437,0.183820,0.177606,0.180206,0.418524,0.177646,0.207506,0.056883,0.180416,0.160364,0.258240,0.173801,,,,,,,,,,,,,,,
7,0.029167,0.198900,0.330813,0.176501,0.205437,0.183819,0.177605,0.180191,0.418522,0.177643,0.207507,0.056884,0.180415,0.160364,0.258244,0.173803,,,,,,,,,,,,,,,
8,0.033333,0.198898,0.330814,0.176504,0.205439,0.183819,0.177606,0.180176,0.418521,0.177644,0.207510,0.056884,0.180411,0.160364,0.258243,0.173802,,,,,,,,,,,,,,,
9,0.037500,0.198896,0.330814,0.176507,0.205443,0.183820,0.177605,0.180155,0.418518,0.177641,0.207511,0.056885,0.180415,0.160368,0.258237,0.173808,,,,,,,,,,,,,,,
10,0.041667,0.198891,0.330814,0.176510,0.205447,0.183822,0.177606,0.180136,0.418519,0.177641,0.207515,0.056884,0.180412,0.160366,0.258239,0.173803,,,,,,,,,,,,,,,
